Part,Description,Quantity,Link
,3D printed parts (see zip with stl/step files),1,github
,6805-SR bearing,2,https://www.amazon.com/dp/B082PYT33D
,1” x 3” x 36” select pine board,2,hardware store
,1/4in-20 nut,1,hardware store
,1/4in-20 bolt,1,https://www.amazon.com/dp/B0D9L9CK7S
,M4 x 12 screws,5,https://www.amazon.com/dp/B0FR2SWJQ6?th=1
,#8 x ¾”,8,hardware store
,#10 x 1”,8,hardware store
,F to F dupont wire breadboard jumper,1,https://www.amazon.com/dp/B0BRTKTV64
,28BYJ-48 ULN2003 5V stepper motor,1,https://www.amazon.com/dp/B01CP18J4A
,Arduino nano,1,https://www.amazon.com/dp/B0DXDTD83X
